[global_linear N=4 s=0] it=100 loss=3.0006e-01 best=3.0006e-01
[global_linear N=4 s=0] it=200 loss=2.9807e-01 best=2.9807e-01
[global_linear N=4 s=0] it=300 loss=2.9788e-01 best=2.9788e-01
[global_linear N=4 s=0] it=400 loss=2.9786e-01 best=2.9786e-01
[global_linear N=4 s=0] it=500 loss=2.9786e-01 best=2.9786e-01
[global_linear N=4 s=0] it=600 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=0] it=700 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=0] it=800 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=0] it=900 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=0] it=1000 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=0] it=1100 loss=2.9785e-01 best=2.9785e-01
Early stop at 1186
Saved results/vqi_global_linear_N4_s0.npz; median SWPE=-0.19 dB, QFI=4.093
